username,review,rating,tahun,aplikasi
Renno Enno,setelah di update malahan lempot buka mbengking apa lagi pas mau pake QR loding trus bikin kesel,1,2025,bca
S Suryati,"sy mbca lovers, tapi skrg makin lemot indikatornya merah mulu, lemotttt, mau transaksi qris/transfer jd lamaa, jadi bikin kesal. ga nyaman. abis di jebol ya? upgrade antivirus.? enakan M-banking bank sebelah cpet. kalau sdh normal sy rubah bintang nya ke lima 5",1,2025,bca
Ikrom Maulana,"tolong dong kenapa saya pas buka rekening baru selalu gagal ada tulisan transaksi gagal terus menerus, knp yh ka.",2,2025,bca
Alvin Falikhis,aplikasi ga jelas jir,1,2025,bca
Dzaki Ahmad Mustopa,vermuk nya ribet apalagi klo kamera jlk.. adub susah bgt IT nya parah. klh sama vermuk2 ojol lah.,1,2025,bca
Wahyu Danu,"Ribet banget astaga verifikasi wajah gagal terus dengan alasan koneksi internet buruk padahal untuk buka aplikasi lain masih bisa, tampilan aplikasi nya juga jadul banget ribet dan menyusahkan tolong dibenahi biar mudah digunakan seperti Livin' By Mandiri, gak enak banget perusahaan mutasi rekening karyawan ke BCA dan ternyata tidak semudah Livin'By Mandiri!!",1,2025,bca
Chairul Handono,"sudah hampir sebulan transaksi Qr gagal saldo dipotong tidak kembali..hati hati jika transaksi menggunakan BCA mobile.saldo hilang kembalinya lama sekali,lebih baik pakai mbanking yg lain,jika ada kegagalan transaksi tidak akan selama BCA mobile.",1,2025,bca
philip tomy,"bca mobile skrg ini performa nya menurun, sering sekali error , saat transaksi banyak di situ dia mengulah , rasa2 nya mau tutup aja rekening BCA ini",1,2025,bca
Classy Type,"Mau buat rekening online aja lama bangett nunggu video call dengan customer service, di arahkan ulang registrasi lagi, ulang registrasi lagi, sampai pulsa habis",1,2025,bca
Yantri Awaeh,sering error,1,2025,bca
Egy Celluler,semenjak di upgrade malah eror trus selalu restart ke awal buat login lgi setiap mau buka inbox,1,2025,bca
Firmansyah Syahbani,kenapa vermuk gak bisa2 udh tempat nya terang tetap aja gak bisa,1,2025,bca
Umar Sauqi,"updet terakhir apk jadi lemot, tolong di perbaiki..",1,2025,bca
devira .l,"Dari bulan kemarin BCA selalu bermasalah ketika akan transaksi. Malu kalo mau transaksi pakai qris di tempat umum. Mau transfer antar rek juga susah. Aplikasi terbaru, kuota ada, tapi mau transaksi susah. Loading terus. Terima kasih sudah feedback ulasan saya. Jaringan di HP saya bagus, kuota banyak. Aplikasi lain berjalan lancar. Aplikasi mbca hanya terkendala ketika akan melakukan transaksi (VA, QRIS dan transfer). Untuk cek mutasi bisa.",1,2025,bca
Jamal,mode Qris nya sangat lemot sekali sukit di buka,1,2025,bca
salma Sby,"Lemot... Merahnya ndak ganti"" 😠",1,2025,bca
Dwi Ompong,aplikasi semakin kesini semakin busuk buat qris aja susah,1,2025,bca
Arum Novianti,Maaf BCA sebelum diupdate aplikasi aman aja. Lancar. Tapi setelah diupdate perfomanya malah makin lemot.,2,2025,bca
Maju Jaya,"tukar poin nya hoax,memasukan no.kartu sudah benar tapi masih saja sistemnya tertulis salah dan lewat m banking gebyar bca juga jaringan selalu terputus alias tidak bisa di buka,padahal wifi sinyal full SPAM",1,2025,bca
Hudana,"kapan update lagi dari kemarin saya merah terus gak bisa menggunakannya ,udah di restart udah di hapus dan download lagi tetap merah apakah udah 2 hari ini gangguan",1,2025,bca
Paijo Kowek,"jadul, apk lambat, sering error",1,2025,bca
Penumpas Keangkuhan,indikator warna yg mengganggu sinyal ga cocok dikit gabisa dibuat apa² apknya,2,2025,bca
Buddy Juniawan,update sekrang kok agak lemot ya indikator matot padah jarungan kita stabil tolong di update lagi ini ?,2,2025,bca
Angie Rosalina,tidak bisa dibuka selalu kluar sndri terus,1,2025,bca
Luh Riantini,beli kuota saldo berkurang tapi kuota kok gk masuk sering bngt kyk gini,1,2025,bca
bimbim scooter,di update malah gak bisa dibuka ini gimana sih..malah makin parah.,1,2025,bca
Adam Movic,BCA LEMOTTT NAJISSS... udah lemot sering gangguan payahhh,1,2025,bca
Dicky A. Novriandy,"Update nya kok maksa. Kalau ga di update, mbanking ga bisa dipakai. Payah.",2,2025,bca
ardan nu,bangke bca tidak ada fast menunya buang2 waktu gk kaya brimo isthebest pake..,1,2025,bca
Fernando Arfan,"QRIS BCA lelet, frezzing mohon diperbaiki.",1,2025,bca
Bella rosita Anwar,"Aku kira banking BCA lemot karna inbox aku banyak, ternyata sama semua keluh kesah nya, di perbarui bukannya tambah bagus performa nya, tambah jelek ternyata",1,2025,bca
dede ismanto,"Aplikasi Rusak, tiap mau login minta verifikasi ulang terus. Ribet kalo lagi butuh transaksi yang cepat",1,2025,bca
Sari Wangi,mau bayar qris sering keluar bug..tolong di perbaiki .. kami mohon maaf atas ketidak nyamanan nya ...hahahah sampai kapan.....,1,2025,bca
lisa mellysa,udah download 5 kali buat update tapi tetep gabisa digunain yg keluar tulisan suruh update mulu padahal lagi urgent,1,2025,bca
Rahel Purba,bca lama lama ga jelas.. indikatornya merah biru terus hijau cuman sebentar menguji kesabaran,1,2025,bca
fajar mulya,fontnya jelekk😣 tolong font ngikut sistem aja dong,1,2025,bca
wddagus,"versi 4.7.6 jadi lebih lemot, HP baru aja di restart masih juga lama nunggu dari merah biru palagi hijaunya, tolong bagusin lah masak level bca kayak gini",2,2025,bca
Adi Kurniawan,kok transfer antar bank sering gagal yaa ... gagal koneksi Mulu .. sinyal ada dana masih banyak,1,2025,bca
Akbar Reyhansyah Firdaus,saldo nya 0,1,2025,bca
trie khairul,bca makin kesini makin lemot ya bukan nya makin bagus,1,2025,bca
Rengga Octavianika,"ini kenapa ya m-BCA tiba tiba logout, disuruh verifikasi ulang,.. sudah berhasil malah disuruh isi otp, sudah berkali-kali permintaan otp dikirim, tapi tidak pernah ada masuk bahkan sampai pulsa habis. kesel sumpah",1,2025,bca
anfik akrom,"aplikasi ta1 susah bgt klo pas harus verifikasi ulang, aplgi klo hrus ada sms yg gk bisa2 ters",1,2025,bca
Amir Amir,makin update makin lemot,1,2025,bca
Muhamad Rizki,di update jadi lemot dan eror,1,2025,bca
Foxy DMO,MUTASI DI KASIH DETAIL JAM KAYAK BANK LAIN,1,2025,bca
Antony Martial,lampu merah nya kelamaan.jadi ga nyaman kl lagi pas antri bayar pake Qr. parah lah..padahal sebekum nya nyaman bgt oake bank ini.,1,2025,bca
Sagala Bisa,kok malah jadi lemot ya mbanking ini setelah saya update,2,2025,bca
M D,Diupdate tambah abooott alias lemot paraaahh,1,2025,bca
Abdurahman14cjr,"waduh ini update terbaru beneran jd super lemot 🫵🥲 sinyal merah lama tidak seperti biasanya , gawat .",1,2025,bca
Ibu Emi,"buruk banget,,, saya sudah ganti hp, dan ga bisa masuk , karena verivikasi gagal teruuuuus, mohon perbaikannyaaaaaa... buruuuuk sekali",1,2025,bca
Sandy Saputra,susah kalo mo transaksi segala macem nya kudu nunggu warna hijau sedangakan kadang ga hijau hijau tuh lampu nyusahin,1,2025,bca
Muchammad Sulthon imaddudien,"aplikasi M banking paling buruk yang pernah saya pakai, kalo bukan karena kerja yang mengharuskan memakai bank BCA ini saya ga akan mau, lampu indikator selalu merah, sulit sekali untuk transaksi instan seperti contohnya, qris dll",1,2025,bca
Robertus Ronny,"BCA TOLONG diperbaiki sistem login jika salah id login m-banking jngn dipersulit nasabahnya harus ke ATM/Bank Bca atau harus telfon ke 1500888 cukup dengan kode OTP saja. hari minggu bank tutup , ATM emang buka tpi ujung-ujungnya di suruh telvon ke 1500888, kalau telvon banyak makan pulsa. Itu saja Terimakasih.",2,2025,bca
faisal nur irawan,kok sekarang lelet? mengecewakan kaya milik negara aja,2,2025,bca
Reza Kurniawan,ini kenapa kaga bisa dibuka,1,2025,bca
Dika Prayitno,saya kira hp saya rusak. tp di lihat dari ulasan ya begitu.. update terbaru malah lemot dan setelahnya aplikasi tidak bisa di gunakan. cari solusi ga dapat2 eh disini solusinya.. update terbaru malah error dan tidak bisa di gunakan.. kecewa sih,1,2025,bca
Ahmad Fadila,ping selalu merah tdk bisa di buka,1,2025,bca
Ardian Sani Fitradi,Aplikasi SAMPAH !!!!!! Setelah diupdate bukannya menjadi lebih baik malah nyusahin penggunanya (tidak bisa dibuka). KECEWA !!!!,1,2025,bca
Hery Gusnawan,Kenapa makin di update semakin menjadi lemot. mau transaksi apapun menjadi lambat. r u seriously?,1,2025,bca
cccp sgt,"maintenance jgn lama lama gua org kerja TF dari apk grab ke BCA ga BS pindah ke ovo bisa dari ovo TF LG ke grab malah maintenance, maintenance sampe berjam2 SDH 5 jam dari jam 23:00 - 05:00.ganggu org kerja lu pea bgt BCA skrg BS kerja ga.",1,2025,bca
Aditya Ardi Prayoga,pemeliharaan 1 tahun,1,2025,bca
Mustafa Kamal,pemeliharaan seminggu sekali sangat mengganggu untuk pembayaran darurat,1,2025,bca
Yunio Hermawan Ratu Djawa,tiap menit perbaikan sistem gak jelas,1,2025,bca
