username,review,rating,tahun,aplikasi
Odo BungSu,"Mbca saya susah masukk sudah beberapa minggu,mantulll terusss ,..",3,2024,bca
Batavia Tekstil,"Tolong perbaiki kendala di mana saya tidak bisa men-checklist kedua ""term of service"". Saya hanya bisa ""checklist"" salah satu dari dua pilihan ""term of service"". Setiap salah satu kotak saya ""checklist"", kotak lainnya akan hilang tanda check-nya. Tolong segera perbaiki karena saya sangat butuh app ini. saya Kendala ini saya alami pada OPPO A3s 128gb. Terima kasih",3,2024,bca
Andika Putra,"Tolong pihak BCA ,/ perbarui lagi ,masalah tranfer kenapa ,selalu gagal terus 🙏padahal sudah di update ,tapi tetep aja ada bacaan ( Mohon mff anda tidak dapat melakukan transfer) itu kendalanya terus menerus untuk ambnkking ,tolong di perbaiki ,jangan bikin ke cewa semua ,yang sudah percaya dengan Bank BCA ini ,/ padahal Aplikasi paling bagus ,tapi masih aja banyak kekurangan nya mulai dari tranfer ,dan service ,? Trimaksih itu aja saran saya perbaiki ,masalah tranfer ,)!!!!!🙏🔒",3,2024,bca
Ahmad mustofa Nasution,Good,3,2024,bca
ket sang889,Tolong. Di perbaiki. Uda update. Malah. Sering. Out. GK bisa masuk a. .transaksi. Juga jadi. Ribet Uda. Download. App malah GK bisa. Masuk,3,2024,bca
Luri Anggraeni,kenapa sih keluhan nasabah selalu saja ke logout sendri dgn tulisan menunggu² erer 205 😥,3,2024,bca
Bayulara Chandra,"Kek mna si keluar mulu bca saya,sinyal ada malah pesan tidak terkirim padahal pulsa ada",3,2024,bca
Aulya Wenny anggraeni,lemot amat GK bisa kebuka,3,2024,bca
Bimbim Dalbo,"Susah untuk TF antar bang, sending terus",3,2024,bca
Daniyati Dania,Kode otp dikirim lewat SMS namun tidak pernah ada SMS masuk,3,2024,bca
Asri Widiyanti,"Ini gimana sih aplikasi nya Tiba2 keluar sendiri udah di update tetep gak bisa, tolong diperbaiki lagi klo gk bisa pake mbca susah karena ini memudahkan untuk transfer lewat hp, dri kmrin udah dicoba berkali kali krim sms gagal terus",3,2024,bca
Tik tok Hot,"Saldo saya hilang dan semua riwayat transaksinya pun hilang Setelah melakukan Registrasi ulang karena terblokir , uang nya gak seberapa tapi pelayanannya bikin kecewa",3,2024,bca
Vairuz Varsia Ramdhani,Kenapa tidak bisa dibuka sama sekali ya apk nya sekarang?,3,2024,bca
Fajar Fambudi,tumben diinstal sedang tidak bisa. apakah gangguan server atau lainya.. pdahal biasanya sat set...,3,2024,bca
Warki Kiking,"saya pernah kerja juga di warung nasi,satu tahun,pernah jualan juga di rumah,jualan keliling juga,menyimpan dagangan saya di pasar juga",3,2024,bca
Agnes Sianturi,Kok makin susah ya transaksinya Makin hari makin lelet aplikasinya,3,2024,bca
Ali Badri,Setelah di update kenapa jadi susah buka mbca nya padahal saya sudah verifikasi tetep saja tidak bisa diproses . tolong diperbaiki sistemnya,3,2024,bca
budi Waskito,Update ko 3 hari sekali Udah kaya minum obat,3,2024,bca
rizal Mustofa,Setelah dcoba2 ternyata hapus daftar transaksi di inbox sdh tidak bisa..,3,2024,bca
Jenni Zero,Untuk cs terlalu berbelit belit tidak seperti aplikasi oren tinggal kirim bukti ss sama mutasi dah beres dana di kembalikan Ini Ribet suruh telpon ini itu kirim email juga ga bisa masukan kode segala macem hasilnya nihil Tingkatkan lagi,3,2024,bca
C I A,tolong kasih fitur transfer valas ke bank luar negeri seperti di aplikasi my bca,3,2024,bca
Arviela A S diman,"Kuntullll ngirim sms ke nomor lain lancar lancar aja, kenapa pas verifikasi dari bcamobile kok gagal terussss. Buat kesal aja... Ga bisa kasi attachment lagiii",3,2024,bca
Caroline Anggiat,Setelah di update malah error,3,2024,bca
Sea Gaming,Hadapkan wajah ke kamera udah make lampu masih aja ngga bisa payah,3,2024,bca
kamaluddin musthofa,sering warna biru lampu indikator malah kadang merah padahal sinyal OK,3,2024,bca
Sigit Sudibyo,"Laporan mutasi rekeningnya ANEH: dari tanggal yang baru (di atas) ke yang lama (dibawah). Lebih mudsh dimengerti yang BCA lewat internet, cuma repotnya kemana-mana harus bawa² alat Key BCA nya itu.... Padahal bank² lain bisa dengan cara lain, misal OTP melalui nomor hp terfaftar. Benar² KUNO .....",3,2024,bca
Cecep Herdiana,Apakah sedang eror min dengan kode 205,3,2024,bca
Ishak Nur,"Gimana sih ini mau login udh abis pulsa sampe 15rbu ga bisa masuk , tulisan nya tidak dapat di proses, parah !!!!!",3,2024,bca
Septi Riyani,Kok akun mbaking bca saya beberapa hari ini selalu tidak bisa diakses yaa tulisannya sementara transaksi tidak bisa diproses,3,2024,bca
Hendri Harto,Tolong untuk pilihan delete di menu daftar transfer di adakan kembali,3,2024,bca
Herti,Mba gkin error 205,3,2024,bca
Chellinds Saputra,Maaf sebelumnya kenapa saldo saya di bca tiba tiba berkurang ... Dan kenapa kdang ada gangguan mohon di perbaiki. Trims,3,2024,bca
Aradea Elsa,"Stlh update malah force close Mulu, udh baca ulasan ikutin saran tetep aja ga bisa min tolong segera di perbaiki ya min, saya sangat butuh mbanking untuk transaksi, terimakasih",3,2024,bca
Lisa Queenie,kebanyakan update.. Padahal belum 2minggu update suruh update terus🥺🥺🥺🥺,3,2024,bca
Mochammad Rizki Subagja,Ngeri dengan pemeliharaan nya dari jam 1 sampai 5 subuh wow,3,2024,bca
Alan Maulana,knpa lgi ni bca ngk bisa login,3,2024,bca
Yayang Can,"Jujur aku kurang suka sama update sekarang, membuat resah hp yg udah jadul gabisa pake bca mobile lagi. TOLONG KEMBALIKAN SEPERTI AWAL",3,2024,bca
Martika Rianingsih,"Kok merah mulu jaringan gabisa transaksi , perbaiki lagi dong kualitas apknya",3,2024,bca
Srie Chacha,Ini kenapa dari tadi siang merah Mulu M.bca Jaringan bisa buat transaksi,3,2024,bca
Ryan Chenko,Kenapa saya membeli voucher game tapi bertuliskan on proses..tapi sudah setengah hari gak keluar kode voucher..🙄,3,2024,bca
Tristan Martiano,Tolong lah di benerin force close Mulu kagak bisa bayar membayar ini hadehhh,3,2024,bca
Ani Chumairoh,"mau pindah apk ke hp lain mau verifikasi wajah selalu gagal,,padahal pencahayaan sudah maksimal!apa ada solusi lain?",3,2024,bca
Romy Hermawan,Ia knp setelah update jd ga bisa dibuka...ciba dipermudah atuh jd ga bisa ngecek keuangan,3,2024,bca
Antok kurniawan,"Tidak bisa isi centang di syarat dan ketentuan dari bca ,padahal sebelumnya bisa .",3,2024,bca
Sis_ Kha053,Tolong saya tidak bisa login. Verivikasi selalu gagal semenjak update pdhl pulsa juga masih ada. Dan hr ini tbtb ada transaksi berhasil saya kaget dong saya buka aja g bisa ada notif transaksi berhasil tolong bantuannya agar saya bisa login,3,2024,bca
Saif Jean,Kenapa aplikasinya eror tolong diberbaiki ga bisa dibuka selalu koneksi buruk,3,2024,bca
Bambang Pratama,Kenapa ko ga bisa dibuka mobile BCA,3,2024,bca
Yubee1805,"Kenapa tiba' keluar sendiri mohon beri penjelasan,udah diulang login menggunakan no ATM tidak dapat masuk.",3,2024,bca
Aditya Ferdiansyah,Kode otp nya ko GK di kirim² ke nomor saya min,3,2024,bca
Yones Brom,"kira n punya saya aja yg eror,ternyata banyak yg erorr juga",3,2024,bca
Zahra Lee,"Hallo bca, saya ganti hp dan memindahkan mobile banking saya, tp knp ya setiap melakukan verifikasi berkali2 selalu gagal, ada apa dengan aplikasi bca ??",3,2024,bca
Ilham Alhamdan,"Kok BCA saya lampunya merah ya , tdk warna hijau",3,2024,bca
Yenny Susana,Jaringan sering eror.. lelet.,3,2024,bca
Nur 光 Hikari,Untuk mengisi ke dana minim top up harus 20k . Tidak seperti di Indomaret bisa 10k paling kecil,3,2024,bca
azhar_ngage ngage,kenapa hp itel rs4 saat fitur aksesibiltas aktif BCA mobile tidak dapat dibuka ? sedangkan di hp xiaomi saya tetap bisa dibuka walau fitur aksesibilitas aktif,3,2024,bca
Owner Transfarm,Gagal transaksi 😭,3,2024,bca
Dhea Rhp,"Sungguh aplikasi yang sangat tidak memudahkan Penggunaan, saat ini saya harus menonaktifkan akeseibilitas pada Handphone saya untuk mengkases aplikasi ini. Mohon bisa dijadikan masukan untuk kedepannya membuat aplikasi yang tetap aman tanpa harus mengakses pengaturan Handphone. Terimakasih",3,2024,bca
Mas Henry,Top up kartu Flazz udah gk bisa ya?,3,2024,bca
Hp Aa,Baru sekarang sy ngalamin transaksi Qris keterangan nya gagal tapi saldo berkurang/motong.sy konfirmasi pihak yg punya Qris tidak ada saldo masuk atau terkirim. Dan di aplikasi m-banking tak ada fitur keluhan atau komplainan.,3,2024,bca
Safar Dolohalang,mohon bantuannya knpa saya tdak bisa login lagi di apk inii setelah beberapa bulan tidak login pas login di bisa di arahkan ke sms biasa sdh sms juga sampai pulsa habis tdak kunjung jadi🙏🙏 mohon di jawab🙏,3,2024,bca
Saidatus Sania (San'Gres),Aplikasinya error. Saat aktivasi keluar dengan sendiri. Sudah dicoba beberapa kali tapi tetap keluar dan gak bisa lanjut ke ferivikasi wajah.😮‍💨 Mohon segera diupdate aplikasinya🙏🏼,3,2024,bca
lukman cahyono,Kotak centangnya kok g bisa di klik yah... Mohon bantuannya,3,2024,bca
Ari Jayadi,BCA MOBILE KENAPA YA GAK BISA DI BUKA? FORCE CLOSE TERUS.. SUDAH INSTAL ULANG TETAP SAMA SAJA,3,2024,bca
nabila aulia,ini kenapa ya ko qris nya tidak bisa digunakan dan selalu ada kendala?,3,2024,bca
Vansio Kuha,"So so lah, bisa menipu bisa error. Masa kirim 100k uang transfer bca ke Seabank uang gak masuk, telpon Halo BCA belum selesai permasalahan udah habis pulsa 30rb dalam kurang dari 7 menit. Padahal aku kerja harian 70rb/hari kerja dalam waktu 9± jam kerja, Halo bca WA mengalihkan disuruh telpon offline. Aku kalangan bawah mau investasi bca. Ngeri² sedap. Bank terbaik untuk kalian, aku no. Kecewa berat saya",3,2024,bca
Fatur Fatur,Sangat menyenangkan,3,2024,bca
Riyadus Shofyan,Saya pengguna setia BCA.. Hanya menyayangkan adanya uang rusak saat tarik tunai di ATM padahal kalau kita setor tunai ada robek dikit aja pasti di tolak.. Tapi kalau pihak Bank yang ngasih uang rusak melalui Mesin ATM seakan biasa saja... Tolong di tindak lanjuti kualitas pelayanannya.,3,2024,bca
Alda Putri,Ini emang kalo ada dana masuk ga ada notif nya ya.?,3,2024,bca
Khaerul Umam,"Tiba tiba saya GK bisa login ke MBCA nya padahal udah update, pas rubah kata sandi lewat mesin ATM gagal terus",3,2024,bca
Elisa Vrdyni,Kenapa ga bisa dibuka,3,2024,bca
Rudi Fishing,M banking nya kok ndak bisa dibuka ya Apa ada perbaikan,3,2024,bca
Zainal Arifin,Nice nice,3,2024,bca
Sultan Ahmad,"Kenpaa sih tiap login masuk ulang sandi terus bayar pulsa lagi, repot amat sih BCA mobile kacau",3,2024,bca
Wahyu Syahputra,Baik,3,2024,bca
Nanda Syanaz,"Mohon izin mau tanya , kenapa sekarang bukti"" tranfer gak bisa di hapuss yaa , waktu pertama kali buat m bangking masoh bisa dihapus , coba tolong kasih solusinya🙏 terima kasih",3,2024,bca
Sanny Is My Name,Susah cri signal ijo pdhl signal baru,3,2024,bca
khory jendol,Qris nya lama banget akses camera nya sampe berkali-kali antrian panjang cuma buat akses qris ke camera....,3,2024,bca
Alex Setyowoko,Mbanking kok mudah trouble skrg ya,3,2024,bca
Davaa,"selalu error, pasti ada saja masalahnya, kemarin tidak bisa dibuka, sekarang tanpa alasan error gabisa transaksi 205",3,2024,bca
Emi Emi,If you have been trying to find,3,2024,bca
Desty,"Sering pembaruan aplikasi dan selalu masalah SIM card anda salah padahal saya sudah lakukan berulang kali, bahkan ke kantor BCA nya pun sudah",3,2024,bca
arie rosi,"Aplikasi bisa jalan kalau kartu sim jadi satu sama hp,menurut sy ini bahaya klo hp hilang orang lain bisa dgn mudah ganti kode akses karna kartu sim nya nempel.",3,2024,bca
Dunia Gamers,Min tolong update kembali aplikasj BCA mobile nyah agar ketika melihat bukti transferan yang lama bisa dihapus dan mohon bantuan nyh agar dipermudahkan dalam menghapus bukti transferann lain lain terima kasih,3,2024,bca
Anggih Suryanti,Ini kenapa gabisa dibuka udah coba cara dari penilaian dibawah tetep gabisa.segera diperbaiki ya apk nya.,3,2024,bca
susi ana,Serelah update gak bisa dibuka tlg dong segera diperbaiki,3,2024,bca
Arman Arman,"Veripikasi wajah selalu gagal ,,",3,2024,bca
Wirya Bunnies,"Verifikasi 20 kali ga di bales , habis pulsa 60 ribu , aduh gini mana mau maju era bca ? Zzz lah kocak emang .",3,2024,bca
Ari Yanti,"Kenapa di perbaharui palah jelek sih. masih ga bisa di gunakan sih aplikasi dah uninstal berkali"" kalau di pencet app nya lgsung ga bisa di ap""in hp nya,force close trs pula dh non aktifin ini itu masih tetep sama. Ayo dong pihak BCA sgera di perbaiki lg kualitasnya",3,2024,bca
Just Je,Tolong dong aplikasi bca mobile nya kl ganti hp verifikasinya jgn dipersulit,3,2024,bca
Sidiq 96,Ini seriusan gk ada riwayat transaksi/pembayaran QR??,3,2024,bca
deni maira,Kalo sukses di full bintangya,3,2024,bca
Hambanya Tuan,Sejak di-update aplikasi memaksa aplikasi lain yang memakai aksesibilitas untuk dimatikan. Tolong diperbaiki dong. Kan kita perlu aplikasi lain yang berjalan di aksesibilitas android.,3,2024,bca
Winda Dwi Marlina,"Gk kaya biasa nya, tiba² keluar dr apk, malah minta regist ulang ke atm, menyusahkan sekali :(",3,2024,bca
Andi Riyanto,Diminta verifikasi ulang dengan meminta no atm apakah aman,3,2024,bca
Panji Nuswantara,Susah banget ini verifikasi mukanya gagal terus....,3,2024,bca
ci j,"Ini gimana sih,regitrasi ulang gk bisa bisa,udh habis pulsa ku",3,2024,bca
Elan Setiawan,𝐾𝑒𝑛𝑎𝑝𝑎 𝑎𝑘ℎ𝑖𝑟2 𝑖𝑛𝑖 𝑏𝑦𝑘 𝑚𝑎𝑠𝑎𝑙𝑎ℎ 𝑔𝑎 𝑏𝑖𝑠𝑎 𝑘𝑒 𝑏𝑢𝑘𝑎,3,2024,bca
Rovi Hamdan,"Coba kalau ada cabang bca terdekat, daerah pameungpeuk kab. Garut pasti jadi lebih mudah ngurus pin yg terblokir dan berbagai masalah lain di aplikasi. Smoga kedepannya ada atm bca juga",3,2024,bca
Adun24 Core,Kenapa gak bisa hijau lampu indikator nyah tolong dong di perbaiki lagi,3,2024,bca
Riyena Talarosa,gagal mulu pas verifikasi!!! bolak balik registrasi tapi gagal terus!!! HELLLLPPPPPP,3,2024,bca
Eka Sarimuda,"Semenjak tgl 22/10/24 saya sdh update versi terbaru mBCA sampai skrg tdk bisa akses log in ke akun mBCA saya. Saya sdh mengikuti arahan Halo BCA utk me non-aktifkan pengaturan aksesibilitas, memori cukup, jaringan stabil menggunakan mobile data tdk memakai Wifi, pulsa cukup. Namun tetap tdk bisa jg akses log in. Bahkan saya sampai mendatangi kantor cabang BCA meminta bantuan via CS tetap saja tidak ada solusi. Tolong donk pihak BCA tanggapi komplain nasabah perbaiki sistem apps yg error segera!",3,2024,bca
susi lisnawati,"Kenapa di sore jam 3 / 4an dan malam jam 7 / 8an, susah sekali pakai Mbankingnya. Mau transfer atau sekedar lihat saldo susahnya bikin pening kepala, krn yg di transaksikan bisa lebih dari 50 kali. Baru bisa pake Mbanking dgn lancar diatas jam 10an.",3,2024,bca
Satoru girl,Knp ya tiba' harus verifikasi ulang tapi tetep gak bisa suruh hubungi halo BCA 1500888 tapi gak ada apa apa malah panggilan diakhiri terus,3,2024,bca
hendrik seven,Sampai skrang meski aksesesibilitasnya di non aktifkan tetep ga bisa,3,2024,bca
Reiky Almeyda,"Kenapa bayar PLN dihp saya gk bisa,malah gk ada publik/utilitasnya",3,2024,bca
Dedi Rest2,ok bagus,3,2024,bca
Jems Sony,apa bisa saya di kirimkan rekening koran saya setiap bulan lewat email?,3,2024,bca
Sugie Winardso,knapa ya di BCA mobile ga ada finger print,3,2024,bca
wiring gale,Sudah update versi baru dan suruh menonaktifkan menu aksebilitas tapi tetap saja tidak bisa login .,3,2024,bca
Sam Hafi,Msh ga bs dibk,3,2024,bca
Mang Jamet,Kedepan nya tolong di mutasi rekening.. terdapat jam dan menit nya,3,2024,bca
Fery Marz,Tolong ubah lagi di menu inbox nya biar bisa dihapus,3,2024,bca
ambon rahman,Updatenya BERMASALAH... Please deh tim ITnya....,3,2024,bca
Campur Channel,"setelah update malah tidak dapat dibuka, signal sudah sangat stabil tapi tetap saja tidak dapat di buka, tlng segera di perbaiki aplikasinya, sudah saya matikan semua fitur aksebilitas tapi tetap aja gk bisa dibuka, hanya muncul layar putih padahal sebelum update lancar aja gk ada kendala",3,2024,bca
Alma Tn,Kenapa error terus si padahal kemarin kemarin ga pernah error suka ngeclose sendiri,3,2024,bca
Saharudin Udin,Sangat bagus,3,2024,bca
SANDI CZI,update terbaru oktober 2024 suka force close,3,2024,bca
Faizal Kirizal,Menu Flazz nya tidak bisa top-up,3,2024,bca
Serba Ada,"Kenapa tiba tiba ga bisa kebuka,gara gara di updete",3,2024,bca
Riki andriansah,Mohon di permudah ketika akun keluar sendiri masuk akun suli sekali apalagi sinyal jelek pasti keluar sendiri,3,2024,bca
Sidiq Iqbhal Khadafi,"Kenapa saya beli voucher tsel ngak masuk2 pulsanya, tapi saldo sudah berkurang. Saya harus menghubungi kemana?",3,2024,bca
Lampard Frank,"Tampilanya terlalu jadul, semoga bsa dperbaiki lagi",3,2024,bca
Irfan N,Setelah update aplikasi baru dibuka izinkan lokasi malah keluar dan gabisa masuk masuk lagi.. gimana ini ya? jadi gabisa pakai aplikasi nya my bca pun sama aja.. udah nyaman pakai bca mobile anti ribet padahal,3,2024,bca
Amin Amin,Dari pagi saya tidak bisa buka aplikasi m-banking. Katanya suruh verifikasi ulang. Pakai bantuan about.,3,2024,bca
Deka Channel,"BCA keyboard masih sering error. Dan tolong tambahin key , (koma) di samping emoticon. Spasinya di kecilin juga gk papa.",3,2024,bca
Faius Armira,Terkadang aplikasi susah masuk,3,2024,bca
Agus Agus,"Setelah update 24 Oktober 2024 ini aplikasi malah tidak bisa dibuka, force close terus",3,2024,bca
laode bau,Aplikasi ini jarang sy gunakan.,3,2024,bca
Syafira Ma'arif,"Gw kira hp gw yg bermasalah, ternyata emg app nya error setelah update, nyusahin aja",3,2024,bca
CRYST ptx,"Maaf Turun rating karena update terbaru masih ttp harus mematikan aksesibilitas aplikasi lain, sekali lagi ini bukan solusi tepat karna kita juga butuh aplikasi lain yg perlu aksesibilitas aktif. Mohon cepat dibenahi.",3,2024,bca
KENZO ALVARO,Bca mobile dh gangguan seminggu lebih.tolong segera d perbaiki dong..,3,2024,bca
Hery Yana,Apk tidak bisa d hp saya padahal sblomnya bisa entah knp ?,3,2024,bca
Arieffianto Wibowo,Mohon di perbaiki agar tidak berbenturan sama kinerja sama aplikasi lain sementara saya kasih bintang 3 kalau sudah sempurna seperti sedia kala saya tambah bintangnya,3,2024,bca
Muntiah Lampung,Saya kasih bintang 3 dulu soalnya akhir2 ini susah untuk melakukan transaksi lewat bca mobile.padahal sdh di apdate dan sebagainya jd sangat menyulitkan,3,2024,bca
Abil Ahmad Fauzan,"Ini kenapa ya apk bca mobile ngga bisa dibuka, di klik apk nya malah ngga muncul tampilan apa apa kenapa jadi kayak gini mohon bantuannya mohon diperbaiki",3,2024,bca
Elmiaty Djohan,"Setelah update aplikasi, justru tidak bisa digunakan, (black screen), sudah ikuti, clear data, bahkan install ulang, tetap saja tidak bisa digunakan. RAM dan ROM levih dari cukup, WIFI lancar. Sudah ga tahu mau diapain, sepertinya perlu alternatif rekening bank lain, agar saat sangat dibutuhkan tidak terkendala lagi.",3,2024,bca
Iwan Santoso,"Setelah update malah tidak dapat di buka, tolong perbaiki segera",3,2024,bca
Deden Kustiawan,Semenjak di upgrade per tgl 18 okt..versi 4.3.3 sampe di versi 4.5.1 apk sama sekali tdk bisa di buka sama sekali.. malah layar seakan ngeblank semua tdk bisa buka apk yang lainya.. tolong untuk penyelesaianya.. dan solusiny.. (oya hp saya mnggunakan samsu*g)..karena denger² kbanyakan yg trouble itu di hp samsu*g.. tolong sangat untuk solusinya.. trmksh.. 🙏,3,2024,bca
cley,"dulu bintang 5,hbs update susah buka pasti forclose,sdh matikan antivirus,malah skrg gk bisa login muncul notif matikan aksesibilitas,pdhal aksesibilitas gak hidup,buat saya makin gemblung",3,2024,bca
Abdul jihad,Saat klik m-bca forced close,3,2024,bca
Irnawati brilliant,Ini gmn yah.. Setelah terupdate malah force close trus.. Malah jd g bisa diakses keterangan nya nonaktifkan aksesibilitas ttp aja g bisa2,3,2024,bca
Nana Sujana,Tidak bisa dibuka,3,2024,bca
Arik Widiyanto,"Semua transaksi dalam satu genggaman,terbaik aplikasi perbankan",3,2024,bca
Shohibul Malik,Sangat membantu untuk melihat saldo . Tapi kenapa sekarang bca central nya ga bisa dibuka untuk melihat,3,2024,bca
Windy Wijaya Kesuma,"Sekarang bca mobile versi baru, bisa diperbaharui untuk android versi berapa? Hp saya tidak bisa update karena tidak kompatibel infonya.",3,2024,bca
Kasman Turyadi,"Setelah update, keterangan harus menonaktifkan aksesibilitas, memang setelah menonaktifkan mbca dapat terbuka, tp beberapa orang membutuhkan fitur itu untuk aplikasi yang lain,... update yg kurang memuaskan bagi pengguna.",3,2024,bca
irman celesta,Kenapa sekarang BCA mobile dalam seminggu sering sekali mesti di update? Kurangin update dalam seminggu nyaaa. Krna terlalu sering,3,2024,bca
Run Sukses,Tolong di tingkatkan lagi aplikasi nya saya ingin memindah mbanking saya ke hp baru tapi selalu gagal saat mencoba mengirim sms,3,2024,bca
Arie Irvansyah,"Kenapa ya sekarang kalau mau buka BCA mobile harus nonaktif dulu fitur di aksesbilitas, sebelumnya saya aktifkan tidak apa-apa, sekarang harus dimatikan. Bikin ribet kalau ada fitur aksesbilitas yang mau dipakai tapi harus dinonaktifkan dulu",3,2024,bca
Fakhri Chanel,Sudah update lagi Tapi masih ga bisa buka apk bca mobile. ada notif harus non aktifkan aksebilitas Setelah di cek non aktif semua. Kemdalanya apa ya? Jaduh kadi ribet gini sih.,3,2024,bca
ibliss wujod,Kenapa saya tidak bisa login?,3,2024,bca
Abdul Azis,saya udah download pas mau login kok malah keluar terus dari aplikasinya,3,2024,bca
Furqon Fazzri,"Tolong perbaiki, ini force close trs setelah di Update",3,2024,bca
Heppy Wenny Komaling,Ada apa dengan aplikasi ini? Koq tidak bisa dibuka???,3,2024,bca
Muhammad Iqbal Apriliansyah,"Min Tolong Diperbaiki Secepatnya Ya... Setiap Buka Apk Selalu Tutup Sendiri, ingin Setiap melakukan Sesuatu Jadi Susah... Terima Kasih☺",3,2024,bca
Mahardika Nopa,"gak bisa di buka, setiap mau loging lansung keluar kembali ke beranda 🙏🏻",3,2024,bca
Oky Trisaputra,Selalu mental ya untuk login setelah di update? Ada apa dengan BCA Tolong lah di perbaiki sistem nya,3,2024,bca
Juan Enrico Lorenzo,"Tolong dong ini BCA mobile force close terus, segera diperbaiki.",3,2024,bca
Fathurrosyid,"Gak ada angin gak ada hujan, gak bisa masuk, masuk kluar lagi kluar lagi, buang buang pulsa gak jelas",3,2024,bca
Palevi Ical,jadi kebanyakan apdet sekarang... hampir tiap Minggu...🤣 ngapain... cari keuntungan y,3,2024,bca
Suci Rahmawati,Setelah di update kenapa jadi ga bisa dibuka ya aplikasinya. Keluar kekuar terus.,3,2024,bca
ARR_SPEED #16,"setelah update malah tidak bisa di gunakan. gimana pihak terkait, masih belum ada lagi update terbaru masalah terkait. mohon segera di tindak lanjuti.",3,2024,bca
GRANATT Asap,Ini gimana bca,3,2024,bca
Juan Sebastian,"Ini kenapa keluar trus di saat mau login ke mobile BCA nya ,, jadi Susa untuk melakukan transaksi",3,2024,bca
AH. Hariyono,"walau udah diupdate tetep force close juga, gimana nih",3,2024,bca
Sapto87 Sumartono,Setelah update versi terbaru malah gak bisa gmn....kok gak ada sosuli,3,2024,bca
Agus Kpc,Setelah habsi update selalu close aplikasi tidak bisa di buka tolong di perbaiki,3,2024,bca
irfan nur rafi,"force close, tolong segera diperbaiki jadi kacau gabisa transfer",3,2024,bca
Serkan M.sakhiy,Kenapa aplikasi ini tidak bisa dibuka di Hp saya,3,2024,bca
Galuh Akbar,Mbanking saya sudah hampir seminggu selalu forced close bahkan ketika saya install ulang bca mobile malah tidak bisa masuk. Mohon dibantu,3,2024,bca
Winata Olstore,Kok jadinya Force Close ya.. gak bisa masuk...udah uninstall dan install lagi masih tetep gak isa.. tolong solusinya,3,2024,bca
Fadli Payro,Oke thanks Aplikasi tidak dapat berfungsi dengan baik,3,2024,bca
Winoto Mr,"Ada menu flazzz, tp tidak menu topup",3,2024,bca
Ida bagus Win sidharta,"Masih gangguan ya app bca mobile, mohon bantuannya untuk perbaikan",3,2024,bca
Reza Nugroho,"Kok akhir"" sini sering bermasalah mbankingnya, mau login pasti apk tekeluar sendiri",3,2024,bca
FREDD seatompull,Sampai saat ini 24 Okt 2024 masih selalu FORCED CLOSE apk nya. Sdh berhari² tdk bisa transaksi. Mohon bantuannya.,3,2024,bca
Djea Mayz,Bug force close,3,2024,bca
LA ODE AZIS TABAH,"Apk mobile bca nya sdh bsa terbuka, cma ketika klik menu mbca untuk masukan user dan password tidak bsa terbuka langsung keluar dari aplikasi. Mohon dicek sepertinya masih ada bug.",3,2024,bca
Rossi Anggraini,Kenapa pas d buka selalu close trs ya...itu knapa,3,2024,bca
sabit nurazam,Kenapa ini gak bisa dibuka.. force close terus,3,2024,bca
Ryan pramita,"Ini bagaimana aplikasinya tidak bisa dipakai sudah beberapa hari ini ,mau transaksi apa"" jadi susah . Tolong dong diperbaiki ,jadi bingung harus gimana lagi ? Sudah berbagai cara saran cs dilakuin masih tetap tidak bisa .",3,2024,bca
Ahmad Fikri,"Setelah update malah g bisa dibuka,, tolong dong perbaiki, ganggu aktivitas klo ky bgini",3,2024,bca
Bowo Tz,"Gimana ini kok mau masuk mental keluar trus, habis update malah error",3,2024,bca
ogi candra,Force close terus apakah sistim IT Anda sedang bermasah .. Tolong di tingkat kan pelayanan nya,3,2024,bca
Ilham Pramono Nugroho,"Sudah pakai versi terupdate, fitur aksesbilitas sudah nonaktif semua, cache sudah dibersihkan. Tapi tetap sama saja, tidak bisa dibuka. Mohon solusinya 🙏",3,2024,bca
helwin firmansyah,update per tgl 23 okt 24 aplikasinya masih forced closed.,3,2024,bca
Heru Wibowo,Update terbaru Force Close di hp REALME,3,2024,bca
budi satria,Tak bisa di akses,3,2024,bca
Widiani Wiwid,"Tolong di perbaiki 🙏🏻, aplikasi nya ga bisa di buka, sering keluar sendiri aplikasi nya",3,2024,bca
Syarif Udin,Kenapa apk nya tidak bisa digunakan lagi baru masuk apk keluar sendiri,3,2024,bca
Win Arto,Sangan membatu keuangan saya,3,2024,bca
Sahong Bs,Habis di update masih aja forceclose apk bca Mobile nya,3,2024,bca
Kitri Brajayasantosa,"Maap,ingin konfirmasi kenapa ko aplikasi BCA selalu keluar sendiri setelah dibuka . Sebelum dan sesudah update versi terbarunya ..Mohon untuk di tindak lanjuti ,kami jadi agak sulit harus bolak balik ke ATM,yang lumayan cukup jauh dari tempat kami..Terimakasih",3,2024,bca
Rangga Tulusan,"Teknisi aplikasi kalian itu bisa apa ? Bisa ngerusak doang 🤭 update kok malah error, trus klo ada yg ngelamar kerja teknisi iT, yah di tes dulu lah",3,2024,bca
LyricsHati,"Tidak bisa di buka, langsung close sendiri tolong solusinya transaksi jadi terhenti, sudah uninstal / instal ulang lagi tetap sama.",3,2024,bca
Agus Rosyadi,"BCA. Tolong segera perbaiki, setelah di update. m-BCA nya malah Force Close terus",3,2024,bca
